"authors","year","title","booktitle","host_organisation","location","keywords","base_url","path"
"Yousefikia and Mamdoohi and Moridpour and Noruzoliaee and Mahpour","2013","A study on the generalized TFlowFuzzy O-D estimation","Proceedings of the 36th Australasian Transport Research Forum","The University of Queensland, Queensland University of Technology and Griffith University","Brisbane","","http://atrf.info/papers/index.aspx","/papers/2013/2013_yousefikia_mamdoohi_moridpour_noruzoliaee_mahpour.pdf"
"Yu","2013","A case study of risk quantification in mesoscopic modelling of public transport","Proceedings of the 36th Australasian Transport Research Forum","The University of Queensland, Queensland University of Technology and Griffith University","Brisbane"," modelling","http://atrf.info/papers/index.aspx","/papers/2013/2013_yu.pdf"
"Zhang—An integrated approach to traffic modelling","2013","linking SIDRA, LINSIG & AIMSUN","Proceedings of the 36th Australasian Transport Research Forum","The University of Queensland, Queensland University of Technology and Griffith University","Brisbane","","http://atrf.info/papers/index.aspx","/papers/2013/2013_zhang.pdf"
"Zhao and Alan Peters and Rickwood","2013","Socio-economic spatial characteristics and household transport greenhouse gas emissions: a Sydney case study","Proceedings of the 36th Australasian Transport Research Forum","The University of Queensland, Queensland University of Technology and Griffith University","Brisbane","","http://atrf.info/papers/index.aspx","/papers/2013/2013_junjian_zhao.pdf"
"Zuniga—Making the train","2013","an examination of five perspectives of rail access and how they resonate with existing and potential passengers","Proceedings of the 36th Australasian Transport Research Forum","The University of Queensland, Queensland University of Technology and Griffith University","Brisbane","","http://atrf.info/papers/index.aspx","/papers/2013/2013_zuniga.pdf"
"Zuniga and Baird and Burgess and Clark and Heckel and Stanley and Towler and Webster","2013","“Would you; could you; on a boat?” Wait-time and travel-time activities during river ferry journeys and their relationship to overall satisfaction in Brisbane, Queensland","Proceedings of the 36th Australasian Transport Research Forum","The University of Queensland, Queensland University of Technology and Griffith University","Brisbane","","http://atrf.info/papers/index.aspx","/papers/2013/2013_zuniga_baird_burgess_clark_heckel_stanley_towler_webster.pdf"
"Zuniga and Liu and Bunker—Making the train","2013","re-conceptualising accessibility for intra-urban rail travel","Proceedings of the 36th Australasian Transport Research Forum","The University of Queensland, Queensland University of Technology and Griffith University","Brisbane","","http://atrf.info/papers/index.aspx","/papers/2013/2013_zuniga_liu_bunker.pdf"
"Aghabayk and Sarvi and Young","2012","Effective variables on following behaviour of heavy vehicle drivers","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth"," travel behaviour","http://atrf.info/papers/index.aspx","/papers/2012/2012_Aghabayk_Sarvi_Young.pdf"
"Allan","2012","The transport policy and planning implications of electric cars for Australian cities","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth"," car planning policy","http://atrf.info/papers/index.aspx","/papers/2012/2012_Allan.pdf"
"Bannister","2012","Planning for effective project pipelines","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth"," planning","http://atrf.info/papers/index.aspx","/papers/2012/2012_Bannister.pdf"
"Best","2012","Application of above average crash costs in road infrastructure cost benefit analysis: a case study example","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth"," safety","http://atrf.info/papers/index.aspx","/papers/2012/2012_Best.pdf"
"Brennan and Smith and Olaru","2012","Can exclusion factors be priced","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth","","http://atrf.info/papers/index.aspx","/papers/2012/2012_Brennan_Smith_Olaru.pdf"
"Burke and Woolcock","2012","The impacts of transport accessibility and remoteness on Australian Football League (AFL) talent production: findings from the 'Talent Tracker' project","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth","","http://atrf.info/papers/index.aspx","/papers/2012/2012_Burke_Woolcock.pdf"
"Casas and Ruiz de Villa and Torday","2012","Framework for traffic pattern identification: required step for short-term forecasting","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth"," forecasting","http://atrf.info/papers/index.aspx","/papers/2012/2012_Casas.pdf"
"Clifton and Mulley and Hensher","2012","The North West Rail Link winners and losers in the locality of the North West area","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth","","http://atrf.info/papers/index.aspx","/papers/2012/2012_Clifton_Mulley_Hensher.pdf"
"Cosgrove and Gargett and Evans and Graham","2012","The Australian Low Carbon Transport Forum: estimating emission abatement potential for Australian transport","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth"," car","http://atrf.info/papers/index.aspx","/papers/2012/2012_Cosgrove_Gargett_Evans.pdf"
"Currie and Douglas and Kearns","2012","An assessment of alternative bus reliability indicators","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth"," bus public transport","http://atrf.info/papers/index.aspx","/papers/2012/2012_Currie_Douglas_Kearns.pdf"
"Currie and Goh and Sarvi","2012","Exploring the impacts of transit priority measures using Automatic Vehicle Monitoring (AVM) data","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth"," public transport","http://atrf.info/papers/index.aspx","/papers/2012/2012_Currie_Goh_Sarvi.pdf"
"Curtis and Scheurer","2012","Benchmarking public transport accessibility in Australasian cities","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth","","http://atrf.info/papers/index.aspx","/papers/2012/2012_Curtis_Scheurer.pdf"
"Daly and Fox and Patruni and Milthorpe","2012","Pivoting in travel demand models","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth","","http://atrf.info/papers/index.aspx","/papers/2012/2012_Daly_Fox_Patruni_Milthorpe.pdf"
"Delbosc and Currie","2012","Using online discussion forums to study attitudes toward cars and transit among young people in Victoria","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth"," car public transport","http://atrf.info/papers/index.aspx","/papers/2012/2012_Delbosc_Currie.pdf"
"Dias and Sarvi and Shiwakoti","2012","Intersecting and merging pedestrian crowd flows under panic conditions: insights from biological entities","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth","","http://atrf.info/papers/index.aspx","/papers/2012/2012_Dias_Sarvi_Shiwakoti.pdf"
"Douglas and Jones","2012","Modelling the impact of a freight charge on Sydney container traffic","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth"," freight modelling","http://atrf.info/papers/index.aspx","/papers/2012/2012_Douglas_Jones.pdf"
"Ellison and Greaves and Hensher","2012","Medium term effects of London's low emission zone","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth","","http://atrf.info/papers/index.aspx","/papers/2012/2012_Ellison_Greaves_Hensher.pdf"
"Freer","2012","Smart evaluation leads to smarter travel delivery: understanding the what and why","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth","","http://atrf.info/papers/index.aspx","/papers/2012/2012_Freer.pdf"
"Glover","2012","Integrated urban transport and distributed systems for urban mobility: a convergence of ideas in sustainable transport","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth","","http://atrf.info/papers/index.aspx","/papers/2012/2012_Glover.pdf"
"Glover","2012","Public policy options for the problem of public transport","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth"," policy","http://atrf.info/papers/index.aspx","/papers/2012/2012_Glover_B.pdf"
"Greig","2012","Qualitative research into motivation and barriers to cycling","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth"," cycling active transport","http://atrf.info/papers/index.aspx","/papers/2012/2012_Greig.pdf"
"Gu and Kenna and Raisbeck","2012","Developing business cases for regional rail stations a Victorian case study","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth"," bus public transport","http://atrf.info/papers/index.aspx","/papers/2012/2012_Gu_Kenna_Raisbeck.pdf"
"Hamal","2012","Modelling air passenger movements through Australia's non-capital city airports","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth"," modelling aviation","http://atrf.info/papers/index.aspx","/papers/2012/2012_Hamal.pdf"
"Haning and Gazey and Woolmer","2012","People with disability: the forgotten road user group","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth","","http://atrf.info/papers/index.aspx","/papers/2012/2012_Haning_Gazey_Woolmer.pdf"
"Hansen and Peart and John","2012","Engaging young minds: Addressing school travel challenges through innovation","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth","","http://atrf.info/papers/index.aspx","/papers/2012/2012_Hansen_Peart_John.pdf"
"Hay and Shaz","2012","Parking and mode choice in Sydney: evidence from the Sydney household travel survey","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth","","http://atrf.info/papers/index.aspx","/papers/2012/2012_Hay_Shaz.pdf"
"Henn and Sloan and Douglas","2012","Towards a framework for evaluating financing alternatives for high speed rail along the East Coast of Australia","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth","","http://atrf.info/papers/index.aspx","/papers/2012/2012_Henn_Sloan_Douglas.pdf"
"Ho and Mulley","2012","Incorporating intra-household interactions into a tour-based model of public transport use in car-negotiating households","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth"," car","http://atrf.info/papers/index.aspx","/papers/2012/2012_Ho_Mulley.pdf"
"Hollis","2012","Towards an intelligent national road use management strategy","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth","","http://atrf.info/papers/index.aspx","/papers/2012/2012_Hollis.pdf"
"Hossain and Gargett","2012","Public transport use in Australia's capital cities: modelling and forecasting","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth"," modelling forecasting","http://atrf.info/papers/index.aspx","/papers/2012/2012_Hossain_Gargett.pdf"
"Hurni","2012","Investigating social and spatial dimensions of mobility with children and young people in Blacktown, Western Sydney","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth","","http://atrf.info/papers/index.aspx","/papers/2012/2012_Hurni.pdf"
"Jabeen and Olaru and Smith and Braunl and Speidel","2012","Acceptability of electric vehicles: findings from a driver survey","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth","","http://atrf.info/papers/index.aspx","/papers/2012/2012_Jabeen_Olaru_Smith_Braunl_Speidel.pdf"
"Kent and Ampt","2012","Why 'building it' doesn't always mean they will come: understanding reactions to behaviour change measures","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth"," travel behaviour","http://atrf.info/papers/index.aspx","/papers/2012/2012_Kent_Ampt.pdf"
"Ker","2012","1966 and all that: a tale of transport policy and integration","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth"," policy","http://atrf.info/papers/index.aspx","/papers/2012/2012_Ker.pdf"
"Kieu and Bhaskar and Chung","2012","Benefits and issues of bus travel time estimation and prediction","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth"," bus public transport","http://atrf.info/papers/index.aspx","/papers/2012/2012_Kieu_Bhaskar_Chung.pdf"
"Lightfoot and Lubulwa and Malarz","2012","An analysis of container handling at Australian ports","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth","","http://atrf.info/papers/index.aspx","/papers/2012/2012_Lightfoot_Lubulwa_Malarz.pdf"
"Lill and Kane","2012","A case study for engagement with passionate groups: rail crossings on the Caulfield to Dandenong railway line","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth","","http://atrf.info/papers/index.aspx","/papers/2012/2012_Lill_Kane.pdf"
"McAuley","2012","More people cycling more often: commuter cycle training in TravelSmart workplaces","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth"," cycling active transport","http://atrf.info/papers/index.aspx","/papers/2012/2012_McAuley.pdf"
"McGill and Church and Gleeson and Rogers and Doonan","2012","Not everyone gets a back pack: developing a targeted approach to travel behavior change","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth","","http://atrf.info/papers/index.aspx","/papers/2012/2012_McGill_Church_Gleeson_Rogers_Doonan.pdf"
"Mees","2012","Fifty years of public transport planning in Canberra","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth"," planning","http://atrf.info/papers/index.aspx","/papers/2012/2012_Mees.pdf"
"Meng and Taylor and Holyoak","2012","Stated preference survey experiment design for transit-oriented development modelling","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth"," modelling public transport","http://atrf.info/papers/index.aspx","/papers/2012/2012_Meng_Taylor_Holyoak.pdf"
"Merkert and O'Fee","2012","Efficient procurement of public air services: Lessons learned from European transport authorities' perspectives?","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth"," aviation","http://atrf.info/papers/index.aspx","/papers/2012/2012_Merkert_OFee.pdf"
"Moghtaderiesfahani and Burke and Dodson","2012","A systematic review of children's travel behaviour change programs in Australia","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth"," travel behaviour","http://atrf.info/papers/index.aspx","/papers/2012/2012_Moghtaderiesfahani_Burke_Dodson.pdf"
"Muley and Bunker and Ferreira","2012","Assessing efficiency of a Transit Oriented Development (TOD) by comparative analsyis","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth"," public transport","http://atrf.info/papers/index.aspx","/papers/2012/2012_Muley_Bunker_Ferreira.pdf"
"Mulley and Ho","2012","Evaluating the impact of bus network planning changes in Sydney, Australia","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth"," bus public transport planning","http://atrf.info/papers/index.aspx","/papers/2012/2012_Mulley_Ho.pdf"
"Murphy","2012","How is it travelling? Evaluating the TravelSmart local government program","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth","","http://atrf.info/papers/index.aspx","/papers/2012/2012_Murphy.pdf"
"Pathak and Gregg and Gargett","2012","Attitudes to road safety and its implications for public policy","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth"," policy ITS safety","http://atrf.info/papers/index.aspx","/papers/2012/2012_Pathak_Gregg_Gargett.pdf"
"Pender and Currie and Delbosc and Shiwakoti","2012","Planning for the unplanned: an international review of current approaches to service disruption management of railways","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth"," planning","http://atrf.info/papers/index.aspx","/papers/2012/2012_Pender_Currie_Delbosc_Shiwakoti.pdf"
"Pernase and Pekol","2012","The transportation of sugar cane in Queensland's sugar industry","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth","","http://atrf.info/papers/index.aspx","/papers/2012/2012_Pernase_Pekol.pdf"
"Potterton","2012","30 years of Australian transport policy: what makes for success?","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth"," policy","http://atrf.info/papers/index.aspx","/papers/2012/2012_Potterton.pdf"
"Rahimov and Nickkar and Khaksar","2012","Evaluate the necessity of using the navigation system for blind people in urban spaces","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth","","http://atrf.info/papers/index.aspx","/papers/2012/2012_Rahimov_Nickkar_Khaksar.pdf"
"Rose and Thompson and Amani and McClure","2012","Understanding ownership and use of powered two wheelers in Melbourne","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth","","http://atrf.info/papers/index.aspx","/papers/2012/2012_Rose_Thompson_Amani_McClure.pdf"
"Roth and Graves and Jeffreys","2012","Eco-driving in the Australian context","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth","","http://atrf.info/papers/index.aspx","/papers/2012/2012_Roth_Graves_Jeffreys.pdf"
"Sabzehali and Sarvi and Ouveisy","2012","Understanding large transport network performance subject to unexpected traffic demand","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth","","http://atrf.info/papers/index.aspx","/papers/2012/2012_Sabzehali_Sarvi_Ouveisy.pdf"
"Schmitt and Currie and Delbosc","2012","Exploring first impressions of public transport services through a university access survey","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth","","http://atrf.info/papers/index.aspx","/papers/2012/2012_Schmitt_Currie_Delbosc.pdf"
"Shaz and Corpuz","2012","The 0km journey to work: travel behaviour of Sydney's home-based workforce","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth"," travel behaviour","http://atrf.info/papers/index.aspx","/papers/2012/2012_Shaz_Corpuz.pdf"
"Shobeirinejad and Burke and Sipe","2012","Analysing retail travel behaviour using an Australian data set","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth"," travel behaviour","http://atrf.info/papers/index.aspx","/papers/2012/2012_Shobeirinejad_Burke_Sipe.pdf"
"Sobhani and Young and Bahrololoom and Sarvi","2012","Calculating time-to-collision for analysing right turning","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth","","http://atrf.info/papers/index.aspx","/papers/2012/2012_Sobhani.pdf"
"Speidel and Jabeen and Olaru and Harries and Braunl","2012","Analysis of Western Australian electric vehicles and charging station trials","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth"," funding","http://atrf.info/papers/index.aspx","/papers/2012/2012_Speidel_Jabeen_Olaru_Harries_Braunl.pdf"
"Stephens and Adams","2012","More productive space and time","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth","","http://atrf.info/papers/index.aspx","/papers/2012/2012_Stephens_Adams.pdf"
"Stopher and Prasad","2012","Analysis of child diaries: can GPS traces of parents movements provide sufficient travel data for children?","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth","","http://atrf.info/papers/index.aspx","/papers/2012/2012_Stopher_Prasad.pdf"
"Suksri and Raicu and Yue","2012","Towards sustainable urban freight distribution: a proposed evaluation framework","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth"," freight","http://atrf.info/papers/index.aspx","/papers/2012/2012_Suksri_Raicu_Yue.pdf"
"Syam","2012","People's travel behaviour in a multicultural society","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth"," travel behaviour","http://atrf.info/papers/index.aspx","/papers/2012/2012_Syam.pdf"
"Toran Pour and Yue","2012","The role of Geographic Information Systems (GIS) in road emergency services location and Black Spot studies","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth","","http://atrf.info/papers/index.aspx","/papers/2012/2012_ToranPour_Yue.pdf"
"Tsai and Mulley and Clifton","2012","The spatial interactions between public transport demand and land use characteristics in the Sydney Greater Metropolitan Area","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth"," land use","http://atrf.info/papers/index.aspx","/papers/2012/2012_Tsai_Mulley_Clifton.pdf"
"Wake","2012","Engaging Perth workplaces for sustainable transport an evaluation of the TravelSmart Workplace program","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth","","http://atrf.info/papers/index.aspx","/papers/2012/2012_Wake.pdf"
"Wang and Legaspi","2012","Developing a train crowding economic costing model and estimating passenger crowding cost of Sydney CityRail network","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth"," rail public transport","http://atrf.info/papers/index.aspx","/papers/2012/2012_Wang_Legaspi.pdf"
"Wang and Leung","2012","Recent trends of New Zealand's international freight transport","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth"," freight","http://atrf.info/papers/index.aspx","/papers/2012/2012_Wang_Leung.pdf"
"Wang and Mirza and Cheung and Moradi","2012","Transforming Auckland into a cycle-friendly city: understanding factors influencing choices of cyclists and potential cyclists","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth","","http://atrf.info/papers/index.aspx","/papers/2012/2012_Wang_Mirza_Cheung_Moradi.pdf"
"Wati and Burke and Sipe","2012","Children's cycling in Australia: a review of determinants, the role of social connectedness and implications for policy and practice","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth"," cycling active transport policy","http://atrf.info/papers/index.aspx","/papers/2012/2012_Wati_Burke_Sipe.pdf"
"Wiblin and Mulley and Ison","2012","Precinct wide travel plans: learnings from Rouse Hill town centre","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth","","http://atrf.info/papers/index.aspx","/papers/2012/2012_Wiblin_Mulley_Ison.pdf"
"Xu","2012","Is behavioural utility measure a valid proxy for accessibility improvement?","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth"," travel behaviour","http://atrf.info/papers/index.aspx","/papers/2012/2012_Xu.pdf"
"Zhu and Ferreira","2012","Assessing the uncertainty in micro-simulation model outputs","Proceedings of the 35th Australasian Transport Research Forum","Western Australian Department of Transport","Perth"," simulation","http://atrf.info/papers/index.aspx","/papers/2012/2012_Zhu_Ferreira.pdf"
"Abbass and Mount and Tucek and Pinheiro","2011","Towards a Code of Best Practice for Evaluating Air Traffic control Interfaces","Proceedings of the 34th Australasian Transport Research Forum","South Australian Department for Transport, Energy and Infrastructure; University of South Australia","Adelaide"," aviation","http://atrf.info/papers/index.aspx","/papers/2011/2011_Abbass_Mount_Tucek_Pinheiro.pdf"
"Aghabayk and Young and Sarvi and Wang","2011","Examining vehicle interactions during a vehicle following manoeuvre","Proceedings of the 34th Australasian Transport Research Forum","South Australian Department for Transport, Energy and Infrastructure; University of South Australia","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2011/2011_Aghabayk_Young_Sarvi_Wang.pdf"
"Albrecht and Koelewijn and Pudney","2011","Energy efficient recovery of delays in a rail network","Proceedings of the 34th Australasian Transport Research Forum","South Australian Department for Transport, Energy and Infrastructure; University of South Australia","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2011/2011_Albrecht_Koelewijn_Pudney.pdf"
"Allan","2011","Land use planning and its role in transforming the Adelaide Gawler line into a transit corridor of connected TODs","Proceedings of the 34th Australasian Transport Research Forum","South Australian Department for Transport, Energy and Infrastructure; University of South Australia","Adelaide"," public transport land use planning ITS","http://atrf.info/papers/index.aspx","/papers/2011/2011_Allan.pdf"
"Battellino and McClain","2011","Community Transport in NSW Broadening the Horizon","Proceedings of the 34th Australasian Transport Research Forum","South Australian Department for Transport, Energy and Infrastructure; University of South Australia","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2011/2011_Battellino_McClain.pdf"
"Bevrani and Chung","2011","Car Following Model Improvement for Traffic Safety Metrics Reproduction","Proceedings of the 34th Australasian Transport Research Forum","South Australian Department for Transport, Energy and Infrastructure; University of South Australia","Adelaide"," safety","http://atrf.info/papers/index.aspx","/papers/2011/2011_Bevrani_Chung.pdf"
"Bevrani and Rahman and Chung","2011","Queue Protection parameters' fine tuning for Variable Speed Limits","Proceedings of the 34th Australasian Transport Research Forum","South Australian Department for Transport, Energy and Infrastructure; University of South Australia","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2011/2011_Bevrani_Rahman_Chung.pdf"
"Bhaskar and Chung and Dumont","2011","Arterial travel time estimation: Revisiting the classical procedure","Proceedings of the 34th Australasian Transport Research Forum","South Australian Department for Transport, Energy and Infrastructure; University of South Australia","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2011/2011_Bhaskar_Chung_Dumont.pdf"
"Bin Kabit and Charles and Ferreira and Hojati","2011","Examination of traffic incident records and development of a rapid incident response plan","Proceedings of the 34th Australasian Transport Research Forum","South Australian Department for Transport, Energy and Infrastructure; University of South Australia","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2011/2011_bin_Kabit_Charles_Ferreira_Hojati.pdf"
"Bleechmore and Giles-Corti and French and Olaru","2011","University U Pass programs: projecting potential quantitative impacts at UWA","Proceedings of the 34th Australasian Transport Research Forum","South Australian Department for Transport, Energy and Infrastructure; University of South Australia","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2011/2011_Bleechmore_Giles_Corti_French_Olaru.pdf"
"Botte and Olaru","2011","Geo spatial analysis of activity spaces in a TOD environment Tracking impacts of rail transport policy using kernel density estimation","Proceedings of the 34th Australasian Transport Research Forum","South Australian Department for Transport, Energy and Infrastructure; University of South Australia","Adelaide"," policy environment","http://atrf.info/papers/index.aspx","/papers/2011/2011_Botte_Olaru.pdf"
"Brooker and Uddin","2011","The Future Inner Sydney Light Rail Network","Proceedings of the 34th Australasian Transport Research Forum","South Australian Department for Transport, Energy and Infrastructure; University of South Australia","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2011/2011_Brooker_Uddin.pdf"
"Charles and Ferreira and Galiza","2011","An analysis of traffic incidents on an Australian urban road network","Proceedings of the 34th Australasian Transport Research Forum","South Australian Department for Transport, Energy and Infrastructure; University of South Australia","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2011/2011_Charles_Ferraira_Galiza.pdf"
"Chohan and Imran and Cheyne","2011","Roads for economic development: An analysis of urban transport policies of New Zealand and Pakistan","Proceedings of the 34th Australasian Transport Research Forum","South Australian Department for Transport, Energy and Infrastructure; University of South Australia","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2011/2011_Chohan_Imran_Cheyne.pdf"
"Chong-White and Millar and Johnson and Shaw","2011","The evolution of the SCATS and the environment study","Proceedings of the 34th Australasian Transport Research Forum","South Australian Department for Transport, Energy and Infrastructure; University of South Australia","Adelaide"," environment","http://atrf.info/papers/index.aspx","/papers/2011/2011_ChongWhite_Millar_Johnson_Shaw.pdf"
"Chong-White and Millar and Johnson and Shaw (A)","2011","The SCATS and the environment study: introduction and preliminary results","Proceedings of the 34th Australasian Transport Research Forum","South Australian Department for Transport, Energy and Infrastructure; University of South Australia","Adelaide"," environment","http://atrf.info/papers/index.aspx","/papers/2011/2011_ChongWhite_Millar_Johnson_Shaw_A.pdf"
"Clifton and Chen and Cutter","2011","Representing Weather in Travel Behaviour Studies: A Case Study from Sydney, AUS","Proceedings of the 34th Australasian Transport Research Forum","South Australian Department for Transport, Energy and Infrastructure; University of South Australia","Adelaide"," travel behaviour","http://atrf.info/papers/index.aspx","/papers/2011/2011_Clifton_Chen_Cutter.pdf"
"Corpuz","2011","An empirical assessment of teleworking using the Sydney Household Travel Survey data","Proceedings of the 34th Australasian Transport Research Forum","South Australian Department for Transport, Energy and Infrastructure; University of South Australia","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2011/2011_Corpuz.pdf"
"Cosgrove","2011","Long term Patterns of Australian Public Transport Use","Proceedings of the 34th Australasian Transport Research Forum","South Australian Department for Transport, Energy and Infrastructure; University of South Australia","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2011/2011_Cosgrove.pdf"
"Cui and Allan and Lin","2011","Influencing Factors for Developing Underground Pedestrian Systems in Cities","Proceedings of the 34th Australasian Transport Research Forum","South Australian Department for Transport, Energy and Infrastructure; University of South Australia","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2011/2011_Cui_Allan_Lin.pdf"
"Daniels and Gordon and Mulley and Stevens","2011","Optimal contracting and incentives for public transport in Sydney: what has been learned from the Sydney Metro experience?","Proceedings of the 34th Australasian Transport Research Forum","South Australian Department for Transport, Energy and Infrastructure; University of South Australia","Adelaide","","http://atrf.info/papers/index.aspx","/papers/2011/2011_Daniels_Gordon_Mulley_Stevens.pdf"
"Daniel and s Gordon and Mulley","2011","Mass media and mass transit: a newspaper's campaign on public transport planning in Sydney","Proceedings of the 34th Australasian Transport Research Forum","South Australian Department for Transport, Energy and Infrastructure; University of South Australia","Adelaide"," public transport planning","http://atrf.info/papers/index.aspx","/papers/2011/2011_Daniels_Goron_Mulley.pdf"
"Daniels and Mulley (A)","2011","Understanding variations in travel time to access key activities for accessibility planning PDF: xx KB ","Proceedings of the 34th Australasian Transport Research Forum","South Australian Department for Transport, Energy and Infrastructure; University of South Australia","Adelaide"," planning","http://atrf.info/papers/index.aspx","/papers/2011/2011_Daniels_Mulley (A).pdf"
